Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,jakarta barat,jakarta pusat,jakarta selatan,jakarta timur,jakarta utara
Sofyan Hotel Cut Meutia Syariah,1112,350000,jakarta pusat,3,8.4,-6.187341,106.8342177,0.003338807,233542.6,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Sofyan Hotel Cut Meutia Syariah,1113,350000,jakarta pusat,3,8.4,-6.187341,106.8342177,0.003338807,288729.5,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Sofyan Hotel Cut Meutia Syariah,1114,350000,jakarta pusat,3,8.4,-6.187341,106.8342177,0.003338807,216777.3,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Sofyan Hotel Cut Meutia Syariah,1115,350000,jakarta pusat,3,8.4,-6.187341,106.8342177,0.003338807,304714.6667,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Sofyan Hotel Cut Meutia Syariah,1116,350000,jakarta pusat,3,8.4,-6.187341,106.8342177,0.003338807,239624.2,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Travellers Hotel Jakarta,1113,350000,jakarta pusat,3,8.6,-6.1467544,106.831577,0.004226188,94318.57143,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Travellers Hotel Jakarta,1114,350000,jakarta pusat,3,8.6,-6.1467544,106.831577,0.004226188,108353.3,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Travellers Hotel Jakarta,1115,350000,jakarta pusat,3,8.6,-6.1467544,106.831577,0.004226188,120758.5556,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Travellers Hotel Jakarta,1116,350000,jakarta pusat,3,8.6,-6.1467544,106.831577,0.004226188,103221.1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Travellers Hotel Jakarta,1117,350000,jakarta pusat,3,8.6,-6.1467544,106.831577,0.004226188,130706.3,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Citi M Hotel Tanah Abang Gambir,1113,350000,jakarta pusat,2,8.6,-6.1706987,106.8189085,0.005956492,209508.6667,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Marrakesh Inn,1115,350000,jakarta pusat,3,8.3,-6.2068588,106.8073713,0.002316574,35913.44444,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0
Hotel Gren Alia Jakarta,1113,350000,jakarta pusat,3,8.7,-6.1807294,106.8380737,0.005099062,368002.3333,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Hotel Gren Alia Jakarta,1114,350000,jakarta pusat,3,8.7,-6.1807294,106.8380737,0.005099062,228946,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Hotel Gren Alia Jakarta,1115,350000,jakarta pusat,3,8.7,-6.1807294,106.8380737,0.005099062,302790.1111,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Hotel Gren Alia Jakarta,1116,350000,jakarta pusat,3,8.7,-6.1807294,106.8380737,0.005099062,254067.125,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Hotel Gren Alia Jakarta,1117,350000,jakarta pusat,3,8.7,-6.1807294,106.8380737,0.005099062,205004.6667,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Hotel Gren Alia Jakarta,1118,350000,jakarta pusat,3,8.7,-6.1807294,106.8380737,0.005099062,285433.25,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Hotel Gren Alia Jakarta,1120,350000,jakarta pusat,3,8.7,-6.1807294,106.8380737,0.005099062,1336841.7,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Hotel Gren Alia Jakarta,1121,350000,jakarta pusat,3,8.7,-6.1807294,106.8380737,0.005099062,220532.4,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Lynt Hotel Jakarta,1115,350000,jakarta pusat,3,8.3,-6.1689321,106.811134,0.005195879,175039.6667,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Lynt Hotel Jakarta,1116,350000,jakarta pusat,3,8.3,-6.1689321,106.811134,0.005195879,150417.1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Lynt Hotel Jakarta,1119,350000,jakarta pusat,3,8.3,-6.1689321,106.811134,0.005195879,143908.6,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Lynt Hotel Jakarta,1120,350000,jakarta pusat,3,8.3,-6.1689321,106.811134,0.005195879,150960.2,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0
Cool Living,1119,350000,jakarta pusat,0,8.5,-6.1883198,106.8209722,0.002375774,175734.8,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0
Hotel Gren Alia Cikini,1112,350000,jakarta pusat,3,8.5,-6.1922684,106.8383062,0.002457009,258705.3,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0
Hotel Gren Alia Cikini,1114,350000,jakarta pusat,3,8.5,-6.1922684,106.8383062,0.002457009,173350.2222,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0
