Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,sleman,yogyakarta,bantul,kulon progo,gunungkidul
Hotel Jambu Indah Purnama,1024,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,189750,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1025,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,180250,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1026,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,182750,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1027,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,254950.1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1028,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,257950,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1029,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,310722.2222,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1030,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,456416.6667,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1031,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,179111.1111,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1101,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,171150,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Srikandi Baru,1020,100000,sleman,1,7.8,-7.7573512,110.3836327,0.003337354,212285.1429,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
Hotel Srikandi Baru,1021,100000,sleman,1,7.8,-7.7573512,110.3836327,0.003337354,252567.2,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
Hotel Srikandi Baru,1022,100000,sleman,1,7.8,-7.7573512,110.3836327,0.003337354,309252.6,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
